event,time,home team,away team,home score,away score
2012 W,5/30/2012 18:00:00,Baby Blue’s B!tch (White),Baby Blue (Columbia Blue),12,15
2012 W,5/30/2012 18:00:00,Super Red Teets (Red),Forest Dump (Forest),15,8
2012 W,5/30/2012 18:00:00,Röyäl Öystër Cült (Royal),Magic 8 Ball (Black),8,15
2012 W,5/30/2012 18:00:00,Honey Badgers (Gold),Sexist Texas Orange (Navy),15,6
2012 W,5/30/2012 18:00:00,Sandwich (Sand),$ Cha-Ching $ (Kelly),8,15
2012 M,6/4/2012 18:00:00,White on Rice (White),Columbia Brewing Company (Col Blue),13,15
2012 M,6/4/2012 18:00:00,Right Said Red (Red),Gang-Green (Forest),15,12
2012 M,6/4/2012 18:00:00,The Bluebonic Plague (Royal),Game of Thrown's (Black),7,15
2012 M,6/4/2012 18:00:00,Banana Slugs (Gold),Heartburn (Pink),15,13
2012 M,6/4/2012 18:00:00,Sand People (Sand),Dill (Kelly),12,15
2012 W,6/6/2012 18:00:00,Sexist Texas Orange (Navy),Sandwich (Sand),15,4
2012 W,6/6/2012 18:00:00,Magic 8 Ball (Black),Honey Badgers (Gold),15,6
2012 W,6/6/2012 18:00:00,Baby Blue’s B!tch (White),$ Cha-Ching $ (Kelly),16,14
2012 W,6/6/2012 18:00:00,Baby Blue (Columbia Blue),Super Red Teets (Red),16,17
2012 W,6/6/2012 18:00:00,Forest Dump (Forest),Röyäl Öystër Cült (Royal),11,15
2012 M,6/11/2012 18:00:00,Heartburn (Pink),Sand People (Sand),15,13
2012 M,6/11/2012 18:00:00,Game of Thrown's (Black),Banana Slugs (Gold),4,15
2012 M,6/11/2012 18:00:00,White on Rice (White),Dill (Kelly),15,7
2012 M,6/11/2012 18:00:00,Columbia Brewing Company (Col Blue),Right Said Red (Red),15,13
2012 M,6/11/2012 18:00:00,Gang-Green (Forest),The Bluebonic Plague (Royal),15,13
2012 W,6/13/2012 18:00:00,Baby Blue’s B!tch (White),Röyäl Öystër Cült (Royal),15,12
2012 W,6/13/2012 18:00:00,$ Cha-Ching $ (Kelly),Super Red Teets (Red),15,13
2012 W,6/13/2012 18:00:00,Baby Blue (Columbia Blue),Honey Badgers (Gold),15,10
2012 W,6/13/2012 18:00:00,Magic 8 Ball (Black),Sexist Texas Orange (Navy),10,15
2012 W,6/13/2012 18:00:00,Forest Dump (Forest),Sandwich (Sand),15,8
2012 M,6/18/2012 18:00:00,White on Rice (White),The Bluebonic Plague (Royal),15,5
2012 M,6/18/2012 18:00:00,Dill (Kelly),Right Said Red (Red),7,15
2012 M,6/18/2012 18:00:00,Columbia Brewing Company (Col Blue),Banana Slugs (Gold),15,8
2012 M,6/18/2012 18:00:00,Game of Thrown's (Black),Heartburn (Pink),17,15
2012 M,6/18/2012 18:00:00,Gang-Green (Forest),Sand People (Sand),15,9
2012 W,6/20/2012 18:00:00,Baby Blue (Columbia Blue),Sexist Texas Orange (Navy),15,13
2012 W,6/20/2012 18:00:00,Baby Blue’s B!tch (White),Sandwich (Sand),15,9
2012 W,6/20/2012 18:00:00,Forest Dump (Forest),Magic 8 Ball (Black),15,13
2012 W,6/20/2012 18:00:00,Röyäl Öystër Cült (Royal),$ Cha-Ching $ (Kelly),13,15
2012 W,6/20/2012 18:00:00,Super Red Teets (Red),Honey Badgers (Gold),15,11
2012 M,6/25/2012 18:00:00,Columbia Brewing Company (Col Blue),Heartburn (Pink),15,10
